Date, Open, High, Low, Close
06/12/90, 2933.42, 2947.52, 2877.97, 2933.42
06/11/90, 2892.57, 2901.98, 2852.97, 2892.57
06/08/90, 2862.38, 2908.50, 2850.73, 2862.38
06/07/90, 2897.33, 2930.58, 2880.34, 2897.33
06/06/90, 2911.65, 2936.65, 2891.99, 2911.65
06/05/90, 2925.00, 2956.55, 2911.89, 2925.00
06/04/90, 2935.19, 2943.69, 2883.98, 2935.19
06/01/90, 2900.97, 2919.90, 2868.69, 2900.97
05/31/90, 2876.66, 2900.62, 2854.84, 2876.66
05/30/90, 2878.56, 2908.21, 2853.89, 2878.56
05/29/90, 2870.49, 2876.19, 2812.62, 2870.49
05/25/90, 2820.92, 2856.50, 2806.69, 2820.92
05/24/90, 2855.55, 2878.08, 2828.04, 2855.55
05/23/90, 2856.26, 2869.07, 2824.95, 2856.26
05/22/90, 2852.23, 2877.13, 2828.51, 2852.23
05/21/90, 2844.68, 2859.72, 2802.08, 2844.68
05/18/90, 2819.91, 2838.43, 2804.63, 2819.91
05/17/90, 2831.71, 2856.25, 2811.57, 2831.71
05/16/90, 2819.68, 2841.44, 2800.23, 2819.68
05/15/90, 2822.45, 2840.74, 2798.15, 2822.45
05/14/90, 2821.53, 2857.87, 2793.75, 2821.53
05/11/90, 2801.58, 2810.36, 2743.02, 2801.58
05/10/90, 2738.51, 2755.63, 2716.44, 2738.51
05/09/90, 2732.88, 2745.50, 2710.14, 2732.88
05/08/90, 2733.56, 2739.41, 2710.36, 2733.56
05/07/90, 2721.62, 2739.19, 2698.87, 2721.62
05/04/90, 2710.36, 2718.92, 2682.43, 2710.36
05/03/90, 2696.17, 2716.22, 2682.88, 2696.17
05/02/90, 2689.64, 2697.30, 2659.01, 2689.64
05/01/90, 2668.92, 2687.39, 2651.35, 2668.92
04/30/90, 2656.76, 2667.79, 2627.70, 2656.76
04/27/90, 2645.05, 2687.39, 2639.19, 2645.05
04/26/90, 2676.58, 2691.89, 2650.23, 2676.58
04/25/90, 2666.44, 2685.36, 2649.32, 2666.44
04/24/90, 2654.50, 2686.04, 2643.69, 2654.50
04/23/90, 2666.67, 2690.77, 2650.90, 2666.67
04/20/90, 2695.95, 2722.07, 2668.47, 2695.95
04/19/90, 2711.94, 2742.12, 2700.00, 2711.94
04/18/90, 2732.88, 2771.85, 2727.48, 2732.88
04/17/90, 2765.77, 2774.77, 2738.29, 2765.77
04/16/90, 2763.06, 2793.47, 2748.87, 2763.06
04/12/90, 2751.80, 2763.96, 2729.05, 2751.80
04/11/90, 2729.73, 2751.35, 2713.29, 2729.73
04/10/90, 2731.08, 2741.67, 2707.88, 2731.08
04/09/90, 2722.07, 2737.39, 2701.35, 2722.07
04/06/90, 2717.12, 2732.43, 2695.50, 2717.12
04/05/90, 2721.17, 2746.17, 2709.01, 2721.17
04/04/90, 2719.37, 2755.86, 2708.56, 2719.37
04/03/90, 2736.71, 2747.30, 2699.55, 2736.71
04/02/90, 2700.45, 2708.78, 2668.69, 2700.45
03/30/90, 2707.21, 2736.72, 2692.34, 2707.21
03/29/90, 2727.70, 2753.38, 2711.49, 2727.70
03/28/90, 2743.69, 2755.63, 2716.22, 2743.69
03/27/90, 2736.94, 2738.96, 2691.89, 2736.94
03/26/90, 2707.66, 2735.81, 2697.97, 2707.66
03/23/90, 2704.28, 2722.75, 2688.06, 2704.28
03/22/90, 2695.72, 2734.01, 2674.32, 2695.72
03/21/90, 2727.93, 2759.68, 2718.24, 2727.93
03/20/90, 2738.74, 2775.00, 2724.10, 2738.74
03/19/90, 2755.63, 2761.71, 2706.53, 2755.63
03/16/90, 2741.22, 2745.50, 2699.32, 2741.22
03/15/90, 2695.72, 2714.86, 2677.93, 2695.72
03/14/90, 2687.84, 2705.18, 2662.39, 2687.84
03/13/90, 2674.55, 2699.55, 2657.88, 2674.55
03/12/90, 2686.71, 2698.65, 2661.94, 2686.71
03/09/90, 2683.33, 2705.63, 2665.54, 2683.33
03/08/90, 2696.17, 2705.18, 2661.26, 2696.17
03/07/90, 2669.59, 2696.85, 2656.08, 2669.59
03/06/90, 2676.80, 2684.46, 2638.06, 2676.80
03/05/90, 2649.55, 2675.23, 2636.71, 2649.55
03/02/90, 2660.36, 2669.82, 2630.18, 2660.36
03/01/90, 2635.59, 2655.63, 2607.88, 2635.59
02/28/90, 2627.25, 2652.48, 2603.60, 2627.25
02/27/90, 2617.12, 2637.84, 2592.12, 2617.12
02/26/90, 2602.48, 2606.31, 2560.14, 2602.48
02/23/90, 2564.19, 2591.44, 2540.99, 2564.19
02/22/90, 2574.77, 2622.30, 2568.02, 2574.77
02/21/90, 2583.56, 2602.48, 2556.31, 2583.56
02/20/90, 2596.85, 2619.14, 2579.05, 2596.85
02/16/90, 2635.59, 2669.37, 2623.65, 2635.59
02/15/90, 2649.55, 2658.78, 2614.86, 2649.55
02/14/90, 2624.32, 2643.69, 2608.11, 2624.32
02/13/90, 2624.10, 2639.19, 2592.57, 2624.10
